Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,7945,
3,Carlos Alcaraz,21,ESP,6520,
4,Taylor Fritz,27,USA,4810,
5,Novak Djoković,37,SRB,3860,+2
6,Casper Ruud,26,NOR,3855,-1
7,Andrey Rublev,27,RUS,3440,+1
8,Stefanos Tsitsipas,26,GRE,3315,+1
9,Daniil Medvedev,29,RUS,3290,-3
10,Alex de Minaur,26,AUS,3245,
11,Tommy Paul,27,USA,2940,
12,Jack Draper,23,GBR,2810,+2
13,Ben Shelton,22,USA,2790,-1
14,Grigor Dimitrov,33,BUL,2655,+1
15,Holger Rune,21,DEN,2630,-2
16,Lorenzo Musetti,23,ITA,2610,
17,Frances Tiafoe,27,USA,2445,
18,Félix Auger-Aliassime,24,CAN,2415,
19,Ugo Humbert,26,FRA,2335,
20,Tomáš Macháč,24,CZE,2310,
21,Arthur Fils,20,FRA,2290,
22,Hubert Hurkacz,28,POL,2165,
23,Karen Khachanov,28,RUS,1960,
24,Sebastian Korda,24,USA,1860,+1
25,Alexei Popyrin,25,AUS,1760,+2
26,Jiří Lehečka,23,CZE,1745,-2
27,Francisco Cerúndolo,26,ARG,1735,-1
28,Denis Shapovalov,25,CAN,1676,
29,Giovanni Mpetshi Perricard,21,FRA,1613,+1
30,Matteo Berrettini,28,ITA,1540,-1
31,Alejandro Tabilo,27,CHI,1515,
32,Alex Michelsen,20,USA,1425,
33,Brandon Nakashima,23,USA,1410,
34,Sebastián Báez,24,ARG,1385,
35,Jordan Thompson,30,AUS,1375,+3
36,Matteo Arnaldi,24,ITA,1370,-1
37,Lorenzo Sonego,29,ITA,1356,
38,Alejandro Davidovich Fokina,25,ESP,1310,+1
39,Flavio Cobolli,22,ITA,1280,+1
40,Pedro Martínez,27,ESP,1280,+1
41,Tomás Martín Etcheverry,25,ARG,1275,+4
42,Alexandre Müller,28,FRA,1250,+2
43,Tallon Griekspoor,28,NED,1230,
44,Nuno Borges,28,POR,1220,-8
45,Gaël Monfils,38,FRA,1190,-3
46,Nicolás Jarry,29,CHI,1165,+1
47,Jan Lennard Struff,34,GER,1160,-1
48,Marcos Giron,31,USA,1150,
49,Miomir Kecmanović,25,SRB,1146,
50,Roberto Bautista Agut,36,ESP,1086,
51,Zhizhen Zhang,28,CHN,1055,
52,Roberto Carballés Baena,31,ESP,1051,
53,Zizou Bergs,25,BEL,1045,
54,Jaume Munar,27,ESP,989,+4
55,David Goffin,34,BEL,983,+1
56,Juncheng Shang,20,CHN,975,-1
57,Jakub Menšík,19,CZE,972,
58,Quentin Halys,28,FRA,961,+1
59,Fábián Marozsán,25,HUN,945,-5
60,Luciano Darderi,23,ITA,930,
61,Benjamin Bonzi,28,FRA,914,+1
62,Mariano Navone,24,ARG,890,+1
63,Camilo Ugo Carabelli,25,ARG,870,-2
64,Learner Tien,19,USA,867,+4
65,Yoshihito Nishioka,29,JPN,866,
66,Francisco Comesaña,24,ARG,866,
67,Mattia Bellucci,23,ITA,838,+3
68,Yunchaokete Bu,23,CHN,835,+3
69,Hamad Medjedović,21,SRB,829,+3
70,Roman Safiullin,27,RUS,828,-1
71,Arthur Rinderknech,29,FRA,821,+2
72,Laslo Djere,29,SRB,821,+2
73,Aleksandar Vukic,28,AUS,814,-9
74,Kei Nishikori,35,JPN,803,+2
75,Christopher O'Connell,30,AUS,785,
76,Corentin Moutet,25,FRA,769,+3
77,Daniel Altmaier,26,GER,768,+1
78,Luca Nardi,21,ITA,762,-11
79,Jacob Fearnley,23,GBR,757,+2
80,Joao Fonseca,18,BRA,750,
81,Cameron Norrie,29,GBR,744,-4
82,Damir Džumhur,32,BIH,742,+2
83,Rinky Hijikata,24,AUS,729,
84,Botic van de Zandschulp,29,NED,720,+1
85,Alexander Bublik,27,KAZ,705,-3
86,Gabriel Diallo,23,CAN,700,+2
87,Hugo Gaston,24,FRA,666,+6
88,Márton Fucsovics,33,HUN,666,+1
89,Raphaël Collignon,23,BEL,652,+3
90,Jaime Faria,21,POR,649,-3
91,Thanasi Kokkinakis,28,AUS,648,-5
92,Francesco Passaro,24,ITA,646,-2
93,Adam Walton,25,AUS,646,+3
94,James Duckworth,33,AUS,638,+3
95,Aleksandar Kovačević,26,USA,633,-1
96,Fabio Fognini,37,ITA,602,-1
97,Alexander Shevchenko,24,KAZ,598,+1
98,Thiago Seyboth Wild,24,BRA,597,-7
99,Nishesh Basavareddy,19,USA,585,+2
100,Pavel Kotov,26,RUS,573,+2
101,Hugo Dellien,31,BOL,566,+2
102,Christopher Eubanks,28,USA,563,+2
103,Jesper de Jong,24,NED,562,+3
104,Lucas Pouille,31,FRA,559,-5
105,Billy Harris,30,GBR,558,+2
106,Pablo Carreño Busta,33,ESP,554,+6
107,Thiago Monteiro,30,BRA,552,-2
108,Mackenzie McDonald,29,USA,542,+1
109,Dušan Lajović,34,SRB,535,-1
110,Yannick Hanfmann,33,GER,529,
111,Brandon Holt,26,USA,528,
112,Chun Hsin Tseng,23,TWN,526,-12
113,Reilly Opelka,27,USA,516,+1
114,Arthur Cazaux,22,FRA,508,-1
115,Tristan Boyer,23,USA,501,+2
116,Kamil Majchrzak,29,POL,492,+6
117,Taro Daniel,32,JPN,485,-1
118,Vít Kopřiva,27,CZE,481,+1
119,Nicolas Moreno De Alboran,27,USA,468,-1
120,Alexander Ritschard,30,SUI,466,+1
121,Daniel Elahi Galán,28,COL,465,+2
122,Borna Ćorić,28,CRO,461,-2
123,Jozef Kovalík,32,SVK,460,+2
124,Federico Coria,32,ARG,458,+4
125,Max Purcell,26,AUS,456,-1
126,Tristan Schoolkate,24,AUS,450,+4
127,Jérôme Kym,22,SUI,449,+4
128,Sebastian Ofner,28,AUT,448,-1
129,Harold Mayot,23,FRA,445,+4
130,Juan Manuel Cerúndolo,23,ARG,445,-1
131,Thiago Agustín Tirante,23,ARG,443,+3
132,Otto Virtanen,23,FIN,440,-17
133,Ethan Quinn,20,USA,432,+4
134,Cristian Garín,28,CHI,431,+4
135,Román Andrés Burruchaga,23,ARG,430,+1
136,Federico Agustin Gomez,28,ARG,429,-1
137,Sumit Nagal,27,IND,428,-5
